session_id,age,sex,gender,race,citizenship,lab_or_online,us_or_international,exprace,expgender,exprunafter,compensation,recruitment,separatedornot,ethnicity,nativelang,major,location,sample,sunkgroup,sunkDV,gambfalgroup,gambfalDV,reciprocitygroup,reciprocityus,allowedforbiddenGroup,allowedforbidden,quoteGroup,quote,flagfilter,flagdv,gainlossgroup,anch1group,anch2group,anch3group,anch4group,scalesgroup,flagGroup,MoneyGroup,ContactGroup,gainlossDV,Imagineddv,anchoring1,anchoring2,anchoring3,anchoring4,Sysjust,IATexpart,IATexpmath,IATexp.overall,totexpmissed,scalesorder,reciprocorder,diseaseforder,quoteorder,flagprimorder,sunkcostorder,anchorinorder,allowedforder,gamblerforder,moneypriorder,imaginedorder,iatorder,sysjust1,sysjust2,sysjust3,sysjust4,sysjust5,sysjust6,sysjust7,sysjust8,flagdv1,flagdv2,flagdv3,flagdv4,flagdv5,flagdv6,flagdv7,flagdv8
1,18,f,2,2,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,NA,english,10,abington,1,0,9,two-six,3.1622776601683795,askedfirst,1,allowed,1,1,9,1,3.25,0,low,high,high,high,1,control,control,contact,1,7,NA,9e5,3e4,1e4,2.75,5.5,2.5,5.5,0,5,9,4,3,7,2,8,6,10,1,11,12,1,4,3,4,4,4,1,1,4,1,1,1,4,7,4,4
1,19,f,2,3,CN,0,0,6,male,runafter,coursecredit,unisubjpool,barriers,3,other,13,abington,1,0,9,two-six,6,askedsecond,1,forbidden,0,0,4,1,3.625,0,low,low,high,low,1,flag-prime,control,contact,2,4,NA,NA,3e4,5e3,3.375,3.6666666666666665,4.166666666666667,3.75,0,3,10,7,5,2,6,11,9,1,4,8,12,2,2,4,2,4,7,2,4,4,2,4,4,4,1,6,4
1,18,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,other,13,abington,1,1,3,three-six,2.23606797749979,askedsecond,1,forbidden,0,1,6,1,3.25,1,low,low,low,high,0,flag-prime,control,control,2,3.5,5e3,4e5,5e3,25e3,4.25,6,5.166666666666667,4.416666666666667,0,7,1,2,8,9,3,5,10,6,4,11,12,3,4,3,4,5,7,4,4,1,4,4,3,4,3,5,2
1,18,m,3,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,2,abington,1,0,6,two-six,2,askedsecond,1,allowed,1,1,3,0,2.5,0,high,low,low,low,1,NA,control,control,1,4.5,3e3,3e5,2400,400,3.125,5,3.6666666666666665,4.666666666666667,0,5,3,7,8,10,6,9,4,1,11,2,12,5,2,3,4,3,1,3,4,2,1,1,1,4,3,6,2
1,18,m,3,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,7,abington,1,0,9,three-six,3.4641016151377544,askedsecond,0,forbidden,0,1,7,1,4.75,1,low,high,low,low,1,control,money-prime,control,2,1.5,1750,35e5,NA,156,4,4,3,4.5,0,8,7,10,3,11,6,9,5,4,1,2,12,5,2,3,7,5,3,5,2,5,6,7,6,3,6,4,1
2,18,f,NA,3,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,7,abington,1,1,9,two-six,2.23606797749979,askedfirst,1,forbidden,0,1,2,1,2.625,0,low,low,low,low,0,control,money-prime,control,1,4.75,NA,3e5,1e4,NA,4.75,5,6,3.5,0,4,11,9,6,3,2,8,5,1,10,7,12,5,5,6,6,3,6,4,3,4,1,4,1,2,1,5,3
2,18,f,2,3,US,0,0,6,male,runalone,coursecredit,unisubjpool,nobarriers,2,english,7,abington,1,1,9,three-six,3.1622776601683795,askedfirst,1,forbidden,0,1,5,1,3.25,1,high,low,high,low,1,flag-prime,control,contact,1,4,3e3,NA,25e3,300,4.5,5.333333333333333,2.6666666666666665,5.333333333333333,0,1,9,2,11,8,7,5,10,4,6,3,12,3,3,4,4,5,5,5,7,4,1,4,1,3,7,2,4
2,19,m,3,2,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,NA,english,6,abington,1,1,7,two-six,3.1622776601683795,askedsecond,1,forbidden,0,1,5,1,3.625,0,low,high,high,high,1,control,money-prime,contact,1,3,2e3,49e5,43300,1e3,4.125,4.666666666666667,6,3.3333333333333335,0,1,3,6,8,7,11,4,10,9,2,5,12,6,4,3,4,2,5,3,6,4,3,4,2,4,3,5,4
2,21,m,3,5,US,0,0,6,male,runalone,coursecredit,unisubjpool,nobarriers,2,english,10,abington,1,1,9,two-six,1.7320508075688772,askedsecond,1,forbidden,0,0,6,1,3,0,low,low,low,low,0,control,control,contact,2,8,3e3,NA,NA,NA,3.75,7,3.1666666666666665,5.916666666666667,0,4,1,10,6,8,7,9,5,2,11,3,12,1,1,1,6,7,7,1,6,7,1,3,1,1,3,7,1
3,21,f,2,6,US,0,0,6,male,runalone,coursecredit,unisubjpool,barriers,2,english,10,abington,1,0,9,two-six,2.23606797749979,askedfirst,1,allowed,1,0,9,1,2.5,0,low,low,high,high,0,flag-prime,control,contact,2,2.75,NA,25e4,45e3,35e3,1.75,6.833333333333333,3,5.916666666666667,0,7,3,5,11,2,8,6,9,4,1,10,12,1,1,1,1,3,1,1,5,1,1,1,1,3,5,7,1
